"","date_full","day","hour","sonde","value","variety","culture","rep"
"88","08.11.2022 17:00","08.11.2022","17:00:00","T_1",9.108066,"OUT","OUT","OUT"
"89","08.11.2022 17:15","08.11.2022","17:15:00","T_1",8.428474,"OUT","OUT","OUT"
"90","08.11.2022 17:30","08.11.2022","17:30:00","T_1",8.238588,"OUT","OUT","OUT"
"91","08.11.2022 17:45","08.11.2022","17:45:00","T_1",8.088678,"OUT","OUT","OUT"
"92","08.11.2022 18:00","08.11.2022","18:00:00","T_1",7.96875,"OUT","OUT","OUT"
"93","08.11.2022 18:15","08.11.2022","18:15:00","T_1",8.31854,"OUT","OUT","OUT"
"94","08.11.2022 18:30","08.11.2022","18:30:00","T_1",8.758276,"OUT","OUT","OUT"
"95","08.11.2022 18:45","08.11.2022","18:45:00","T_1",9.148042,"OUT","OUT","OUT"
"96","08.11.2022 19:00","08.11.2022","19:00:00","T_1",9.138048,"OUT","OUT","OUT"
"97","08.11.2022 19:15","08.11.2022","19:15:00","T_1",9.06809,"OUT","OUT","OUT"
"98","08.11.2022 19:30","08.11.2022","19:30:00","T_1",8.86821,"OUT","OUT","OUT"
"99","08.11.2022 19:45","08.11.2022","19:45:00","T_1",8.608366,"OUT","OUT","OUT"
"100","08.11.2022 20:00","08.11.2022","20:00:00","T_1",8.178624,"OUT","OUT","OUT"
"101","08.11.2022 20:15","08.11.2022","20:15:00","T_1",8.178624,"OUT","OUT","OUT"
"102","08.11.2022 20:30","08.11.2022","20:30:00","T_1",7.7189,"OUT","OUT","OUT"
"103","08.11.2022 20:45","08.11.2022","20:45:00","T_1",7.958756,"OUT","OUT","OUT"
"104","08.11.2022 21:00","08.11.2022","21:00:00","T_1",7.658936,"OUT","OUT","OUT"
"105","08.11.2022 21:15","08.11.2022","21:15:00","T_1",7.439068,"OUT","OUT","OUT"
"106","08.11.2022 21:30","08.11.2022","21:30:00","T_1",7.588978,"OUT","OUT","OUT"
"107","08.11.2022 21:45","08.11.2022","21:45:00","T_1",7.698912,"OUT","OUT","OUT"
"108","08.11.2022 22:00","08.11.2022","22:00:00","T_1",7.598972,"OUT","OUT","OUT"
"109","08.11.2022 22:15","08.11.2022","22:15:00","T_1",8.288558,"OUT","OUT","OUT"
"110","08.11.2022 22:30","08.11.2022","22:30:00","T_1",8.248582,"OUT","OUT","OUT"
"111","08.11.2022 22:45","08.11.2022","22:45:00","T_1",7.928774,"OUT","OUT","OUT"
"112","08.11.2022 23:00","08.11.2022","23:00:00","T_1",8.448462,"OUT","OUT","OUT"
"113","08.11.2022 23:15","08.11.2022","23:15:00","T_1",8.808246,"OUT","OUT","OUT"
"114","08.11.2022 23:30","08.11.2022","23:30:00","T_1",9.247982,"OUT","OUT","OUT"
"115","08.11.2022 23:45","08.11.2022","23:45:00","T_1",9.36791,"OUT","OUT","OUT"
"116","09.11.2022 00:00","09.11.2022","00:00:00","T_1",9.487838,"OUT","OUT","OUT"
"117","09.11.2022 00:15","09.11.2022","00:15:00","T_1",9.397892,"OUT","OUT","OUT"
"118","09.11.2022 00:30","09.11.2022","00:30:00","T_1",9.387898,"OUT","OUT","OUT"
"119","09.11.2022 00:45","09.11.2022","00:45:00","T_1",9.31794,"OUT","OUT","OUT"
"120","09.11.2022 01:00","09.11.2022","01:00:00","T_1",9.36791,"OUT","OUT","OUT"
"121","09.11.2022 01:15","09.11.2022","01:15:00","T_1",9.387898,"OUT","OUT","OUT"
"122","09.11.2022 01:30","09.11.2022","01:30:00","T_1",9.41788,"OUT","OUT","OUT"
"123","09.11.2022 01:45","09.11.2022","01:45:00","T_1",9.46785,"OUT","OUT","OUT"
"124","09.11.2022 02:00","09.11.2022","02:00:00","T_1",9.61776,"OUT","OUT","OUT"
"125","09.11.2022 02:15","09.11.2022","02:15:00","T_1",9.647742,"OUT","OUT","OUT"
"126","09.11.2022 02:30","09.11.2022","02:30:00","T_1",9.607766,"OUT","OUT","OUT"
"127","09.11.2022 02:45","09.11.2022","02:45:00","T_1",9.547802,"OUT","OUT","OUT"
"128","09.11.2022 03:00","09.11.2022","03:00:00","T_1",9.587778,"OUT","OUT","OUT"
"129","09.11.2022 03:15","09.11.2022","03:15:00","T_1",9.737688,"OUT","OUT","OUT"
"130","09.11.2022 03:30","09.11.2022","03:30:00","T_1",9.747682,"OUT","OUT","OUT"
"131","09.11.2022 03:45","09.11.2022","03:45:00","T_1",9.907586,"OUT","OUT","OUT"
"132","09.11.2022 04:00","09.11.2022","04:00:00","T_1",9.857616,"OUT","OUT","OUT"
"133","09.11.2022 04:15","09.11.2022","04:15:00","T_1",9.777664,"OUT","OUT","OUT"
"134","09.11.2022 04:30","09.11.2022","04:30:00","T_1",9.727694,"OUT","OUT","OUT"
"135","09.11.2022 04:45","09.11.2022","04:45:00","T_1",9.827634,"OUT","OUT","OUT"
"136","09.11.2022 05:00","09.11.2022","05:00:00","T_1",9.777664,"OUT","OUT","OUT"
"137","09.11.2022 05:15","09.11.2022","05:15:00","T_1",9.837628,"OUT","OUT","OUT"
"138","09.11.2022 05:30","09.11.2022","05:30:00","T_1",9.877604,"OUT","OUT","OUT"
"139","09.11.2022 05:45","09.11.2022","05:45:00","T_1",9.91758,"OUT","OUT","OUT"
"140","09.11.2022 06:00","09.11.2022","06:00:00","T_1",9.857616,"OUT","OUT","OUT"
"141","09.11.2022 06:15","09.11.2022","06:15:00","T_1",9.837628,"OUT","OUT","OUT"
"142","09.11.2022 06:30","09.11.2022","06:30:00","T_1",9.96755,"OUT","OUT","OUT"
"143","09.11.2022 06:45","09.11.2022","06:45:00","T_1",9.777664,"OUT","OUT","OUT"
"144","09.11.2022 07:00","09.11.2022","07:00:00","T_1",9.707706,"OUT","OUT","OUT"
"145","09.11.2022 07:15","09.11.2022","07:15:00","T_1",9.797652,"OUT","OUT","OUT"
"146","09.11.2022 07:30","09.11.2022","07:30:00","T_1",9.86761,"OUT","OUT","OUT"
"147","09.11.2022 07:45","09.11.2022","07:45:00","T_1",9.927574,"OUT","OUT","OUT"
"148","09.11.2022 08:00","09.11.2022","08:00:00","T_1",9.987538,"OUT","OUT","OUT"
"149","09.11.2022 08:15","09.11.2022","08:15:00","T_1",10.137448,"OUT","OUT","OUT"
"150","09.11.2022 08:30","09.11.2022","08:30:00","T_1",10.347322,"OUT","OUT","OUT"
"151","09.11.2022 08:45","09.11.2022","08:45:00","T_1",10.487238,"OUT","OUT","OUT"
"152","09.11.2022 09:00","09.11.2022","09:00:00","T_1",10.557196,"OUT","OUT","OUT"
"153","09.11.2022 09:15","09.11.2022","09:15:00","T_1",10.747082,"OUT","OUT","OUT"
"154","09.11.2022 09:30","09.11.2022","09:30:00","T_1",10.936968,"OUT","OUT","OUT"
"155","09.11.2022 09:45","09.11.2022","09:45:00","T_1",11.006926,"OUT","OUT","OUT"
"156","09.11.2022 10:00","09.11.2022","10:00:00","T_1",11.186818,"OUT","OUT","OUT"
"157","09.11.2022 10:15","09.11.2022","10:15:00","T_1",11.156836,"OUT","OUT","OUT"
"158","09.11.2022 10:30","09.11.2022","10:30:00","T_1",11.006926,"OUT","OUT","OUT"
"159","09.11.2022 10:45","09.11.2022","10:45:00","T_1",11.076884,"OUT","OUT","OUT"
"160","09.11.2022 11:00","09.11.2022","11:00:00","T_1",11.356716,"OUT","OUT","OUT"
"161","09.11.2022 11:15","09.11.2022","11:15:00","T_1",11.56659,"OUT","OUT","OUT"
"162","09.11.2022 11:30","09.11.2022","11:30:00","T_1",11.506626,"OUT","OUT","OUT"
"163","09.11.2022 11:45","09.11.2022","11:45:00","T_1",11.456656,"OUT","OUT","OUT"
"164","09.11.2022 12:00","09.11.2022","12:00:00","T_1",11.396692,"OUT","OUT","OUT"
"165","09.11.2022 12:15","09.11.2022","12:15:00","T_1",11.486638,"OUT","OUT","OUT"
"166","09.11.2022 12:30","09.11.2022","12:30:00","T_1",11.606566,"OUT","OUT","OUT"
"167","09.11.2022 12:45","09.11.2022","12:45:00","T_1",11.496632,"OUT","OUT","OUT"
"168","09.11.2022 13:00","09.11.2022","13:00:00","T_1",11.396692,"OUT","OUT","OUT"
"169","09.11.2022 13:15","09.11.2022","13:15:00","T_1",11.326734,"OUT","OUT","OUT"
"170","09.11.2022 13:30","09.11.2022","13:30:00","T_1",11.46665,"OUT","OUT","OUT"
"171","09.11.2022 13:45","09.11.2022","13:45:00","T_1",11.656536,"OUT","OUT","OUT"
"172","09.11.2022 14:00","09.11.2022","14:00:00","T_1",11.846422,"OUT","OUT","OUT"
"173","09.11.2022 14:15","09.11.2022","14:15:00","T_1",11.686518,"OUT","OUT","OUT"
"174","09.11.2022 14:30","09.11.2022","14:30:00","T_1",11.596572,"OUT","OUT","OUT"
"175","09.11.2022 14:45","09.11.2022","14:45:00","T_1",11.546602,"OUT","OUT","OUT"
"176","09.11.2022 15:00","09.11.2022","15:00:00","T_1",11.41668,"OUT","OUT","OUT"
"177","09.11.2022 15:15","09.11.2022","15:15:00","T_1",11.396692,"OUT","OUT","OUT"
"178","09.11.2022 15:30","09.11.2022","15:30:00","T_1",11.26677,"OUT","OUT","OUT"
"179","09.11.2022 15:45","09.11.2022","15:45:00","T_1",11.11686,"OUT","OUT","OUT"
"180","09.11.2022 16:00","09.11.2022","16:00:00","T_1",11.16683,"OUT","OUT","OUT"
"181","09.11.2022 16:15","09.11.2022","16:15:00","T_1",11.306746,"OUT","OUT","OUT"
"182","09.11.2022 16:30","09.11.2022","16:30:00","T_1",11.146842,"OUT","OUT","OUT"
"183","09.11.2022 16:45","09.11.2022","16:45:00","T_1",11.06689,"OUT","OUT","OUT"
"184","09.11.2022 17:00","09.11.2022","17:00:00","T_1",10.896992,"OUT","OUT","OUT"
"185","09.11.2022 17:15","09.11.2022","17:15:00","T_1",10.797052,"OUT","OUT","OUT"
"186","09.11.2022 17:30","09.11.2022","17:30:00","T_1",10.827034,"OUT","OUT","OUT"
"187","09.11.2022 17:45","09.11.2022","17:45:00","T_1",10.727094,"OUT","OUT","OUT"
"188","09.11.2022 18:00","09.11.2022","18:00:00","T_1",10.577184,"OUT","OUT","OUT"
"189","09.11.2022 18:15","09.11.2022","18:15:00","T_1",10.427274,"OUT","OUT","OUT"
"190","09.11.2022 18:30","09.11.2022","18:30:00","T_1",10.087478,"OUT","OUT","OUT"
"191","09.11.2022 18:45","09.11.2022","18:45:00","T_1",9.91758,"OUT","OUT","OUT"
"192","09.11.2022 19:00","09.11.2022","19:00:00","T_1",10.11746,"OUT","OUT","OUT"
"193","09.11.2022 19:15","09.11.2022","19:15:00","T_1",10.087478,"OUT","OUT","OUT"
"194","09.11.2022 19:30","09.11.2022","19:30:00","T_1",9.907586,"OUT","OUT","OUT"
"195","09.11.2022 19:45","09.11.2022","19:45:00","T_1",9.76767,"OUT","OUT","OUT"
"196","09.11.2022 20:00","09.11.2022","20:00:00","T_1",9.727694,"OUT","OUT","OUT"
"197","09.11.2022 20:15","09.11.2022","20:15:00","T_1",9.877604,"OUT","OUT","OUT"
