date;experiment_type;Sampling_campain;variety;culture;bloc;sample_type;Sample ID;Glucoraphanin;Progoitrin isomer;Glucoalyssin;Gluconapoleiferin;Gluconapin;Butyl-GS;Glucobrassicanapin;Glucobrassicin;Gluconasturtiin;Methoxyglucobrassicin;Neoglucobrassicin;Unknown GLS (C16H20N2O11S2);total 
05.04.2022;glasshouse;GH_BF;Ma;Mo;4;feuille;230109_IH_GLS_sample_1-42;7.594202899;27.10144928;34.66666667;3.623188406;28.11594203;4.637681159;41.07246377;61.04347826;24.37681159;5.362318841;3.304347826;24.34782609;265.2463768
05.04.2022;glasshouse;GH_BF;An;Mo;5;feuille;230109_IH_GLS_sample_1-43;13.86221294;57.5782881;84.75991649;4.8434238;70.73068894;2.964509395;74.73903967;61.41962422;42.17118998;10.14613779;3.340292276;25.97077244;452.526096
05.04.2022;glasshouse;GH_BF;An;Mo;5;feuille;230109_IH_GLS_sample_1-44;5.379537954;40.0330033;30.4950495;3.729372937;23.00330033;1.815181518;42.34323432;87.75577558;44.98349835;6.105610561;1.584158416;19.7689769;306.9966997
05.04.2022;glasshouse;GH_BF;An;Mo;4;feuille;230109_IH_GLS_sample_1-45;4.316546763;45.9352518;19.13669065;6.54676259;15.71942446;3.201438849;58.77697842;115.9352518;24.85611511;13.27338129;3.417266187;31.54676259;342.6618705
05.04.2022;glasshouse;GH_BF;An;Mo;4;feuille;230109_IH_GLS_sample_1-46;1.659125189;17.16440422;7.209653092;1.719457014;6.003016591;1.508295626;13.09200603;37.31523379;11.52337858;3.650075415;0.995475113;7.601809955;109.4419306
05.04.2022;glasshouse;GH_BF;An;As;4;feuille;230109_IH_GLS_sample_1-47;6.939820743;29.83354673;25.78745198;3.790012804;23.55953905;1.434058899;37.84891165;81.04993598;33.3418694;8.681177977;2.330345711;27.29833547;281.8950064
05.04.2022;glasshouse;GH_BF;An;As;4;feuille;230109_IH_GLS_sample_1-48;4.622496148;27.85824345;21.32511556;2.681047766;22.12634823;1.294298921;35.93220339;65.05392912;29.70724191;8.351309707;2.403697997;29.15254237;250.5084746
05.04.2022;glasshouse;GH_BF;An;As;5;feuille;230109_IH_GLS_sample_1-49;2.573289902;28.79478827;15.01628664;4.136807818;12.11726384;1.791530945;37.52442997;48.63192182;21.88925081;7.980456026;1.205211726;25.57003257;207.2312704
05.04.2022;glasshouse;GH_BF;An;As;5;feuille;230109_IH_GLS_sample_1-50;3.846153846;20.96989967;9.83277592;3.946488294;3.210702341;0;13.14381271;48.86287625;19.29765886;8.72909699;1.137123746;21.0367893;154.0133779
05.04.2022;glasshouse;GH_BF;Ma;As;4;feuille;230109_IH_GLS_sample_1-51;2.782874618;46.45259939;19.23547401;5.259938838;42.2324159;2.201834862;82.5382263;92.96636086;36.88073394;10.97859327;3.302752294;26.69724771;371.529052
05.04.2022;glasshouse;GH_BF;Ma;As;4;feuille;230109_IH_GLS_sample_1-52;14.01129944;71.93973635;87.90960452;9.001883239;68.66290019;2.674199623;125.1977401;90.73446328;43.35216573;7.043314501;1.920903955;37.81544256;560.2636535
05.04.2022;glasshouse;GH_BF;Ma;As;5;feuille;230109_IH_GLS_sample_1-53;4.254742547;37.45257453;32.68292683;5.609756098;27.50677507;4.742547425;74.14634146;53.9295393;20.29810298;5.962059621;1.598915989;22.14092141;290.3252033
05.04.2022;glasshouse;GH_BF;Ma;As;5;feuille;230109_IH_GLS_sample_1-54;2.28980322;29.30232558;28.980322;4.257602862;28.01431127;3.613595707;54.99105546;59.24865832;19.42754919;5.330948122;1.574239714;20.17889088;257.2093023
05.04.2022;glasshouse;GH_BF;Fe;As;4;feuille;230109_IH_GLS_sample_1-55;2.542372881;36.31355932;13.22033898;6.652542373;23.6440678;4.025423729;72.37288136;121.1016949;27.66949153;14.87288136;7.711864407;21.31355932;351.440678
05.04.2022;glasshouse;GH_BF;Fe;As;4;feuille;230109_IH_GLS_sample_1-56;3.235638921;25.93200469;32.49706917;3.728018757;21.7116061;2.110199297;52.91910903;67.26846424;16.67057444;6.189917937;2.64947245;17.51465416;252.4267292
05.04.2022;glasshouse;GH_BF;Fe;As;5;feuille;230109_IH_GLS_sample_1-57;6.022031824;33.36597307;20.85679315;4.357405141;18.8249694;2.815177479;49.00856793;66.68298654;24.67564259;8.004895961;1.493268054;19.06976744;255.1774786
05.04.2022;glasshouse;GH_BF;Fe;As;5;feuille;230109_IH_GLS_sample_1-58;2.938230384;33.4557596;15.29215359;3.939899833;21.96994992;3.67278798;52.85475793;53.12186978;27.01168614;8.113522538;1.502504174;18.43071786;242.3038397
05.04.2022;glasshouse;GH_BF;An;As;3;feuille;230109_IH_GLS_sample_1-59;7.779111645;21.96878752;20.40816327;1.680672269;18.63145258;1.200480192;17.4789916;70.06002401;32.24489796;10.44417767;1.2484994;26.19447779;229.3397359
05.04.2022;glasshouse;GH_BF;An;As;3;feuille;230109_IH_GLS_sample_1-60;4.417177914;37.20858896;23.71165644;3.098159509;32.14723926;2.085889571;55.18404908;73.2208589;27.94478528;8.098159509;1.349693252;23.80368098;292.2699387
16.05.2022;glasshouse;GH_AF;Ma;As;2;feuille;230109_IH_GLS_sample_2-1;0.855172414;44.22068966;5.434482759;7.834482759;9.048275862;1.15862069;44.4137931;141.4068966;22.17931034;6.344827586;4.937931034;25.24137931;313.0758621
16.05.2022;glasshouse;GH_AF;Ma;As;2;feuille;230109_IH_GLS_sample_2-2;10.35639413;33.12368973;44.27672956;4.444444444;26.12159329;1.886792453;34.63312369;56.26834382;28.21802935;7.463312369;4.192872117;24.1509434;275.1362683
16.05.2022;glasshouse;GH_AF;An;As;2;feuille;230109_IH_GLS_sample_2-3;14.81481481;21.79337232;18.05068226;1.949317739;12.94346979;1.364522417;9.824561404;75.28265107;26.27680312;15.47758285;2.807017544;42.72904483;243.3138402
16.05.2022;glasshouse;GH_AF;An;As;2;feuille;230109_IH_GLS_sample_2-4;10.88737201;23.99317406;17.09897611;3.754266212;9.897610922;1.604095563;22.32081911;69.35153584;24.06143345;9.76109215;2.28668942;29.18088737;224.1979522
16.05.2022;glasshouse;GH_AF;Fe;As;3;feuille;230109_IH_GLS_sample_2-5;2.787878788;48.24242424;17.01010101;6.707070707;24.56565657;1.939393939;75.19191919;59.67676768;21.8989899;10.78787879;8.080808081;23.7979798;300.6868687
16.05.2022;glasshouse;GH_AF;Fe;As;3;feuille;230109_IH_GLS_sample_2-6;1.706586826;20.92814371;7.065868263;3.383233533;9.161676647;1.437125749;27.51497006;57.69461078;15.02994012;8.233532934;4.94011976;16.43712575;173.5329341
16.05.2022;glasshouse;GH_AF;Ma;As;3;feuille;230109_IH_GLS_sample_2-7;4.282828283;45.65656566;32;7.434343434;18.66666667;2.909090909;58.18181818;72.96969697;36.56565657;6.98989899;3.797979798;27.23232323;316.6868687
16.05.2022;glasshouse;GH_AF;Ma;As;3;feuille;230109_IH_GLS_sample_2-8;2.310030395;55.77507599;35.68389058;7.872340426;26.56534954;2.036474164;62.15805471;97.11246201;35.22796353;11.42857143;10.15197568;26.04863222;372.3708207
16.05.2022;glasshouse;GH_AF;Fe;As;1;feuille;230109_IH_GLS_sample_2-9;1.316270567;77.29433272;8.372943327;16.12431444;30.89579525;1.535648995;119.5612431;111.0054845;21.57221207;12.90676417;29.79890311;24.05850091;454.4424132
16.05.2022;glasshouse;GH_AF;Fe;As;1;feuille;230109_IH_GLS_sample_2-10;2.040229885;35.86206897;11.49425287;4.683908046;15.31609195;1.522988506;41.83908046;79.36781609;20.37356322;8.045977011;4.166666667;20.51724138;245.2298851
16.05.2022;glasshouse;GH_AF;Ma;As;1;feuille;230109_IH_GLS_sample_2-11;3.316582915;18.69346734;8.442211055;2.713567839;6.465661642;0.904522613;6.901172529;42.71356784;22.27805695;5.460636516;2.981574539;21.03852596;141.9095477
