"","date_full","date","hour","sonde","value","variety","culture","bac","modality"
"116",2022-03-30 11:45:00,2022-03-30,1899-12-31 11:45:00,"T_1",20.980938,"Ext",NA,NA,"Ext"
"117",2022-03-30 12:00:00,2022-03-30,1899-12-31 12:00:00,"T_1",21.540602,"Ext",NA,NA,"Ext"
"118",2022-03-30 12:15:00,2022-03-30,1899-12-31 12:15:00,"T_1",21.520614,"Ext",NA,NA,"Ext"
"119",2022-03-30 12:30:00,2022-03-30,1899-12-31 12:30:00,"T_1",21.56059,"Ext",NA,NA,"Ext"
"120",2022-03-30 12:45:00,2022-03-30,1899-12-31 12:45:00,"T_1",21.870404,"Ext",NA,NA,"Ext"
"121",2022-03-30 13:00:00,2022-03-30,1899-12-31 13:00:00,"T_1",21.81044,"Ext",NA,NA,"Ext"
"122",2022-03-30 13:15:00,2022-03-30,1899-12-31 13:15:00,"T_1",21.670524,"Ext",NA,NA,"Ext"
"123",2022-03-30 13:30:00,2022-03-30,1899-12-31 13:30:00,"T_1",21.76047,"Ext",NA,NA,"Ext"
"124",2022-03-30 13:45:00,2022-03-30,1899-12-31 13:45:00,"T_1",21.900386,"Ext",NA,NA,"Ext"
"125",2022-03-30 14:00:00,2022-03-30,1899-12-31 14:00:00,"T_1",21.720494,"Ext",NA,NA,"Ext"
"126",2022-03-30 14:15:00,2022-03-30,1899-12-31 14:15:00,"T_1",21.650536,"Ext",NA,NA,"Ext"
"127",2022-03-30 14:30:00,2022-03-30,1899-12-31 14:30:00,"T_1",21.730488,"Ext",NA,NA,"Ext"
"128",2022-03-30 14:45:00,2022-03-30,1899-12-31 14:45:00,"T_1",21.680518,"Ext",NA,NA,"Ext"
"129",2022-03-30 15:00:00,2022-03-30,1899-12-31 15:00:00,"T_1",21.76047,"Ext",NA,NA,"Ext"
"130",2022-03-30 15:15:00,2022-03-30,1899-12-31 15:15:00,"T_1",21.7105,"Ext",NA,NA,"Ext"
"131",2022-03-30 15:30:00,2022-03-30,1899-12-31 15:30:00,"T_1",21.740482,"Ext",NA,NA,"Ext"
"132",2022-03-30 15:45:00,2022-03-30,1899-12-31 15:45:00,"T_1",21.740482,"Ext",NA,NA,"Ext"
"133",2022-03-30 16:00:00,2022-03-30,1899-12-31 16:00:00,"T_1",21.730488,"Ext",NA,NA,"Ext"
"134",2022-03-30 16:15:00,2022-03-30,1899-12-31 16:15:00,"T_1",21.470644,"Ext",NA,NA,"Ext"
"135",2022-03-30 16:30:00,2022-03-30,1899-12-31 16:30:00,"T_1",21.580578,"Ext",NA,NA,"Ext"
"136",2022-03-30 16:45:00,2022-03-30,1899-12-31 16:45:00,"T_1",21.56059,"Ext",NA,NA,"Ext"
"137",2022-03-30 17:00:00,2022-03-30,1899-12-31 17:00:00,"T_1",21.41068,"Ext",NA,NA,"Ext"
"138",2022-03-30 17:15:00,2022-03-30,1899-12-31 17:15:00,"T_1",21.41068,"Ext",NA,NA,"Ext"
"139",2022-03-30 17:30:00,2022-03-30,1899-12-31 17:30:00,"T_1",21.300746,"Ext",NA,NA,"Ext"
"140",2022-03-30 17:45:00,2022-03-30,1899-12-31 17:45:00,"T_1",21.230788,"Ext",NA,NA,"Ext"
"141",2022-03-30 18:00:00,2022-03-30,1899-12-31 18:00:00,"T_1",21.06089,"Ext",NA,NA,"Ext"
"142",2022-03-30 18:15:00,2022-03-30,1899-12-31 18:15:00,"T_1",21.7105,"Ext",NA,NA,"Ext"
"143",2022-03-30 18:30:00,2022-03-30,1899-12-31 18:30:00,"T_1",21.830428,"Ext",NA,NA,"Ext"
"144",2022-03-30 18:45:00,2022-03-30,1899-12-31 18:45:00,"T_1",21.790452,"Ext",NA,NA,"Ext"
"145",2022-03-30 19:00:00,2022-03-30,1899-12-31 19:00:00,"T_1",21.830428,"Ext",NA,NA,"Ext"
"146",2022-03-30 19:15:00,2022-03-30,1899-12-31 19:15:00,"T_1",21.91038,"Ext",NA,NA,"Ext"
"147",2022-03-30 19:30:00,2022-03-30,1899-12-31 19:30:00,"T_1",21.930368,"Ext",NA,NA,"Ext"
"148",2022-03-30 19:45:00,2022-03-30,1899-12-31 19:45:00,"T_1",21.850416,"Ext",NA,NA,"Ext"
"149",2022-03-30 20:00:00,2022-03-30,1899-12-31 20:00:00,"T_1",21.720494,"Ext",NA,NA,"Ext"
"150",2022-03-30 20:15:00,2022-03-30,1899-12-31 20:15:00,"T_1",21.580578,"Ext",NA,NA,"Ext"
"151",2022-03-30 20:30:00,2022-03-30,1899-12-31 20:30:00,"T_1",21.480638,"Ext",NA,NA,"Ext"
