date;parcelle;bloc;variete;culture;plante;nb_feuille;H_fev;d_collet;h_tige;weight_fresh;weight_dry;h-tige 2;H_tige_verte;nb_piqures;Piqures;Pollen_beetle;splitting;nb_ramification;bushy;Tortuotype;tortuo_A;tortuo_B;tortuo_C
02.11.2022;52;1;3;mono;10;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;11;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;12;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;13;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;14;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;15;19;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;1;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;2;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;3;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;4;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;5;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;6;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;7;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;8;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;9;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;10;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;11;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;12;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;13;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;14;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;mono;15;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;3;asso;1;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;3;asso;2;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;3;asso;3;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;3;asso;4;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;3;asso;5;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;3;asso;6;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
